control1	case1	control2	case2	control3	case3	control4	case4	control5	case5	control6	case6	
chr1:94:+:CpG	12	7	12	12	12	3	12	1	12	12	12	9	12	12	12	8	12	9	12	7	12	10	12	11	
chr1:252:+:CpG	12	12	12	9	12	11	12	10	12	11	12	10	12	12	12	8	12	4	12	3	12	11	12	4	
chr1:404:+:CpG	12	12	12	12	12	10	12	11	12	7	12	11	12	12	12	11	12	11	12	7	12	12	12	9	
chr1:552:+:CpG	12	10	12	10	12	8	12	12	12	12	12	10	12	12	12	11	12	10	12	1	12	9	12	12	
chr1:562:+:CpG	12	11	12	12	12	10	12	10	12	12	12	10	12	12	12	9	12	12	12	11	12	11	12	12	
chr1:615:+:CpG	12	10	12	6	12	9	12	8	12	11	12	12	12	12	12	7	12	10	12	11	12	10	12	7	
chr1:692:+:CpG	12	11	12	9	12	10	12	12	12	12	12	10	12	11	12	10	12	8	12	10	12	12	12	10	
chr1:848:+:CpG	12	5	12	11	12	11	12	0	12	9	12	3	12	12	12	4	12	12	12	8	12	4	12	5	
chr1:856:+:CpG	12	10	12	9	12	9	12	7	12	6	12	11	12	12	12	6	12	8	12	2	12	8	12	11	
chr1:975:+:CpG	12	10	12	8	12	3	12	1	12	8	12	2	12	12	12	6	12	10	12	7	12	8	12	4	
